step,loss,lr,elapsed_sec
25,7.512077,0.00000050,4.9
50,6.518281,0.00000100,9.2
75,6.040472,0.00000150,13.9
100,5.498304,0.00000200,18.2
125,5.059687,0.00000200,22.8
150,4.474149,0.00000200,27.1
175,4.381418,0.00000199,31.7
200,3.939716,0.00000199,35.9
225,3.590545,0.00000198,40.6
250,3.394445,0.00000197,44.8
275,3.077614,0.00000196,49.3
300,2.798709,0.00000195,53.6
325,2.766878,0.00000194,58.2
350,2.520789,0.00000192,62.5
375,2.414417,0.00000191,67.0
400,2.189865,0.00000189,71.2
425,2.148972,0.00000187,75.8
450,2.080299,0.00000185,80.1
475,2.012589,0.00000183,84.6
500,2.003452,0.00000181,88.9
525,1.913525,0.00000179,93.7
550,1.880198,0.00000176,98.0
575,1.861915,0.00000174,102.5
600,1.832300,0.00000171,106.8
625,1.816504,0.00000168,111.4
650,1.787768,0.00000165,115.6
675,1.778764,0.00000162,120.2
700,1.775114,0.00000159,124.3
725,1.752940,0.00000156,128.8
750,1.726911,0.00000153,133.0
775,1.719654,0.00000150,137.6
800,1.697843,0.00000146,141.9
825,1.701514,0.00000143,146.2
850,1.691985,0.00000139,150.4
875,1.677634,0.00000136,154.8
900,1.668201,0.00000132,159.0
925,1.694407,0.00000128,163.6
950,1.674887,0.00000125,167.7
975,1.671318,0.00000121,172.1
1000,1.654240,0.00000117,176.4
1025,1.650849,0.00000114,182.1
1050,1.655426,0.00000110,186.2
1075,1.656681,0.00000106,190.8
1100,1.657257,0.00000103,195.1
1125,1.638774,0.00000099,199.7
1150,1.629881,0.00000095,203.9
1175,1.627360,0.00000092,208.3
1200,1.628079,0.00000088,212.3
1225,1.633370,0.00000084,216.6
1250,1.638912,0.00000081,220.7
1275,1.617839,0.00000077,224.9
1300,1.640123,0.00000074,229.0
1325,1.634433,0.00000070,233.3
1350,1.613029,0.00000067,237.7
1375,1.614752,0.00000064,242.4
1400,1.608900,0.00000061,246.7
1425,1.610160,0.00000058,251.3
1450,1.611006,0.00000055,255.7
1475,1.613583,0.00000052,260.3
1500,1.604952,0.00000049,264.6
1525,1.606690,0.00000046,269.1
1550,1.618373,0.00000044,273.0
1575,1.603351,0.00000041,277.6
1600,1.614191,0.00000039,281.9
1625,1.597136,0.00000037,286.5
1650,1.585064,0.00000035,290.8
1675,1.607649,0.00000033,295.3
1700,1.596258,0.00000031,299.2
1725,1.602943,0.00000029,303.8
1750,1.608756,0.00000028,308.0
1775,1.598799,0.00000026,312.6
1800,1.584767,0.00000025,316.9
1825,1.595169,0.00000024,321.3
1850,1.598836,0.00000023,325.3
1875,1.597669,0.00000022,329.7
1900,1.593746,0.00000021,334.0
1925,1.596261,0.00000021,338.6
1950,1.598257,0.00000020,342.7
1975,1.588990,0.00000020,347.0
2000,1.589540,0.00000020,351.2
25,6.205532,0.00000050,1.7
50,6.047129,0.00000100,3.2
75,5.970551,0.00000150,4.5
100,5.698954,0.00000200,6.0
125,5.449218,0.00000200,7.3
150,5.715058,0.00000200,8.7
175,5.811378,0.00000199,9.9
200,5.442047,0.00000199,11.4
225,5.387598,0.00000198,12.6
250,5.309403,0.00000197,14.1
275,5.239408,0.00000196,15.3
300,5.077312,0.00000195,16.9
325,4.974669,0.00000194,18.3
350,5.197268,0.00000192,19.8
375,4.903115,0.00000191,21.0
400,5.089015,0.00000189,22.5
425,5.115687,0.00000187,23.8
450,5.159075,0.00000185,25.4
475,4.735998,0.00000183,26.7
500,4.789761,0.00000181,28.2
525,4.869710,0.00000179,29.6
550,5.086535,0.00000176,31.1
575,5.007908,0.00000174,32.3
600,4.848154,0.00000171,33.8
625,4.933760,0.00000168,35.3
650,4.932319,0.00000165,36.6
675,4.906071,0.00000162,38.2
700,4.776178,0.00000159,39.4
725,4.771367,0.00000156,40.9
750,4.902622,0.00000153,42.1
775,4.732433,0.00000150,43.6
800,4.791978,0.00000146,44.8
825,4.781396,0.00000143,46.3
850,4.897528,0.00000139,47.5
875,4.800365,0.00000136,49.0
900,4.574273,0.00000132,50.3
925,4.735917,0.00000128,51.8
950,4.463595,0.00000125,53.1
975,5.065197,0.00000121,54.6
1000,4.736660,0.00000117,55.8
1025,4.671206,0.00000114,58.5
1050,4.742917,0.00000110,59.8
1075,4.713034,0.00000106,61.3
1100,4.447859,0.00000103,62.5
1125,4.539639,0.00000099,64.0
1150,4.379848,0.00000095,65.2
1175,4.870503,0.00000092,66.6
1200,4.608513,0.00000088,67.9
1225,4.639176,0.00000084,69.4
1250,4.399829,0.00000081,70.9
1275,4.524096,0.00000077,72.2
1300,4.590090,0.00000074,73.7
1325,4.641817,0.00000070,75.0
1350,4.638032,0.00000067,76.5
1375,4.654361,0.00000064,77.7
1400,4.329233,0.00000061,79.2
1425,4.637515,0.00000058,80.4
1450,4.323257,0.00000055,81.9
1475,4.391994,0.00000052,83.1
1500,4.523883,0.00000049,84.5
1525,4.419121,0.00000046,86.0
1550,4.633921,0.00000044,87.5
1575,4.570552,0.00000041,88.7
1600,4.640901,0.00000039,90.2
1625,4.890137,0.00000037,91.4
1650,4.676391,0.00000035,92.9
1675,4.333337,0.00000033,94.1
1700,4.652944,0.00000031,95.6
1725,4.594624,0.00000029,96.8
1750,4.486776,0.00000028,98.3
1775,4.370470,0.00000026,99.5
1800,4.504249,0.00000025,101.0
1825,4.370020,0.00000024,102.5
1850,4.583588,0.00000023,103.7
1875,4.642809,0.00000022,105.2
1900,4.542935,0.00000021,106.4
1925,4.565364,0.00000021,107.9
1950,4.656527,0.00000020,109.1
1975,4.395616,0.00000020,110.7
2000,4.509212,0.00000020,112.0
