step,loss,lr,elapsed_sec
25,7.307250,0.00000050,5.0
50,6.248827,0.00000100,9.2
75,5.906442,0.00000150,13.9
100,5.830244,0.00000200,18.3
125,4.918432,0.00000200,23.0
150,4.241570,0.00000200,27.3
175,4.081968,0.00000199,31.9
200,3.554435,0.00000199,36.3
225,3.285784,0.00000198,40.6
250,2.901591,0.00000197,44.9
275,2.830042,0.00000196,49.6
300,2.530212,0.00000195,53.9
325,2.365501,0.00000194,58.6
350,2.200297,0.00000192,62.8
375,2.080686,0.00000191,67.5
400,1.919570,0.00000189,71.9
425,1.936450,0.00000187,76.6
450,1.857726,0.00000185,80.9
475,1.841821,0.00000183,85.5
500,1.824594,0.00000181,89.8
525,1.797488,0.00000179,94.7
550,1.769274,0.00000176,99.1
575,1.747315,0.00000174,103.7
600,1.743921,0.00000171,108.1
625,1.715068,0.00000168,112.7
650,1.706994,0.00000165,117.1
675,1.705306,0.00000162,121.9
700,1.677281,0.00000159,126.4
725,1.662337,0.00000156,131.1
750,1.656038,0.00000153,135.5
775,1.655265,0.00000150,140.1
800,1.633982,0.00000146,144.5
825,1.631285,0.00000143,149.3
850,1.626622,0.00000139,153.7
875,1.634773,0.00000136,158.5
900,1.620323,0.00000132,162.8
925,1.624884,0.00000128,167.6
950,1.593487,0.00000125,172.0
975,1.607791,0.00000121,176.6
1000,1.592845,0.00000117,181.0
1025,1.597544,0.00000114,187.0
1050,1.604110,0.00000110,191.3
1075,1.598008,0.00000106,195.8
1100,1.584974,0.00000103,200.2
1125,1.591709,0.00000099,204.8
1150,1.568578,0.00000095,208.9
1175,1.586808,0.00000092,213.6
1200,1.593695,0.00000088,218.0
1225,1.583502,0.00000084,222.8
1250,1.571352,0.00000081,227.2
1275,1.579252,0.00000077,231.7
1300,1.571627,0.00000074,236.1
1325,1.579276,0.00000070,240.8
1350,1.561039,0.00000067,245.1
1375,1.568221,0.00000064,249.6
1400,1.589925,0.00000061,253.8
1425,1.565421,0.00000058,258.4
1450,1.560515,0.00000055,262.8
1475,1.570063,0.00000052,267.3
1500,1.567230,0.00000049,271.6
1525,1.567734,0.00000046,277.2
