step,loss,lr,elapsed_sec
25,7.923810,0.00000050,7.9
50,6.870575,0.00000100,15.7
75,6.084071,0.00000150,23.4
100,5.392029,0.00000200,31.0
125,4.662407,0.00000200,38.7
150,4.051376,0.00000200,46.4
175,3.473441,0.00000199,54.0
200,3.020514,0.00000199,61.8
225,2.580282,0.00000198,69.3
250,2.256710,0.00000197,77.0
275,2.088718,0.00000196,85.0
300,1.950989,0.00000195,92.9
325,1.868846,0.00000194,100.4
350,1.822511,0.00000192,108.2
375,1.762234,0.00000191,115.9
400,1.746774,0.00000189,123.6
425,1.712659,0.00000187,131.4
450,1.691226,0.00000185,139.2
475,1.668721,0.00000183,146.9
500,1.653621,0.00000181,154.7
525,1.633145,0.00000179,162.6
550,1.619595,0.00000176,170.1
575,1.617679,0.00000174,177.6
600,1.611828,0.00000171,185.5
625,1.603472,0.00000168,193.2
650,1.599219,0.00000165,200.8
675,1.588963,0.00000162,208.6
700,1.581081,0.00000159,216.4
725,1.570771,0.00000156,223.9
750,1.566519,0.00000153,231.7
775,1.569424,0.00000150,239.5
800,1.566278,0.00000146,247.1
825,1.561927,0.00000143,254.8
850,1.553225,0.00000139,262.6
875,1.551970,0.00000136,270.5
900,1.549670,0.00000132,278.3
925,1.546260,0.00000128,285.9
950,1.539786,0.00000125,293.4
975,1.539478,0.00000121,301.2
1000,1.538014,0.00000117,308.8
1025,1.534337,0.00000114,317.5
1050,1.531366,0.00000110,325.3
1075,1.532380,0.00000106,333.0
1100,1.522477,0.00000103,340.8
1125,1.525537,0.00000099,348.3
1150,1.528193,0.00000095,355.9
1175,1.523766,0.00000092,363.5
1200,1.522083,0.00000088,371.2
1225,1.521896,0.00000084,379.0
1250,1.519735,0.00000081,386.8
1275,1.519688,0.00000077,394.7
1300,1.517386,0.00000074,402.6
1325,1.514709,0.00000070,410.2
1350,1.518804,0.00000067,417.8
1375,1.510622,0.00000064,425.3
1400,1.520202,0.00000061,433.0
1425,1.511014,0.00000058,440.8
1450,1.508390,0.00000055,448.5
1475,1.513460,0.00000052,456.1
1500,1.507011,0.00000049,463.9
1525,1.510795,0.00000046,471.9
1550,1.511836,0.00000044,479.5
1575,1.512436,0.00000041,487.1
1600,1.507275,0.00000039,494.8
1625,1.508735,0.00000037,502.7
1650,1.508029,0.00000035,510.5
1675,1.503808,0.00000033,518.2
1700,1.501210,0.00000031,525.8
1725,1.505751,0.00000029,533.4
1750,1.505671,0.00000028,541.0
1775,1.507022,0.00000026,548.6
1800,1.503616,0.00000025,556.0
1825,1.505857,0.00000024,563.7
1850,1.503366,0.00000023,571.3
1875,1.504742,0.00000022,578.9
1900,1.507214,0.00000021,586.8
1925,1.502370,0.00000021,594.2
1950,1.498497,0.00000020,602.0
1975,1.500622,0.00000020,609.9
2000,1.500692,0.00000020,617.7
25,6.413051,0.00000050,2.6
50,5.895025,0.00000100,4.8
75,5.680707,0.00000150,6.9
100,5.565258,0.00000200,9.2
125,5.447919,0.00000200,11.3
150,5.090158,0.00000200,13.6
175,5.407186,0.00000199,15.6
200,5.065233,0.00000199,17.9
225,4.969738,0.00000198,20.1
250,4.889955,0.00000197,22.2
275,4.855759,0.00000196,24.5
300,4.794613,0.00000195,26.5
325,4.729239,0.00000194,28.8
350,4.617618,0.00000192,30.9
375,4.538917,0.00000191,33.3
400,4.527071,0.00000189,35.5
425,4.501525,0.00000187,37.5
450,4.660055,0.00000185,39.7
475,4.530979,0.00000183,41.7
500,4.358386,0.00000181,43.9
525,4.382087,0.00000179,46.2
550,4.235215,0.00000176,48.4
575,4.315104,0.00000174,50.7
600,4.232047,0.00000171,52.8
625,4.254610,0.00000168,55.0
650,4.179662,0.00000165,56.9
675,4.195617,0.00000162,59.2
700,4.146613,0.00000159,61.1
725,4.146394,0.00000156,63.4
750,4.022557,0.00000153,65.7
775,4.061061,0.00000150,67.7
800,4.005037,0.00000146,70.0
825,3.909970,0.00000143,72.0
850,3.977111,0.00000139,74.2
875,3.775725,0.00000136,76.3
900,3.821841,0.00000132,78.6
925,3.741027,0.00000128,80.9
950,3.776924,0.00000125,83.0
975,3.783463,0.00000121,85.3
1000,3.829608,0.00000117,87.3
1025,3.780067,0.00000114,90.7
1050,3.739527,0.00000110,92.8
1075,3.829082,0.00000106,95.1
1100,3.528139,0.00000103,97.3
1125,3.734004,0.00000099,99.3
1150,3.712649,0.00000095,101.4
1175,3.610028,0.00000092,103.3
1200,3.546190,0.00000088,105.6
1225,3.598398,0.00000084,107.6
1250,3.618793,0.00000081,109.9
1275,3.526683,0.00000077,112.2
1300,3.557535,0.00000074,114.2
1325,3.536883,0.00000070,116.5
1350,3.515521,0.00000067,118.5
1375,3.541278,0.00000064,120.7
1400,3.465201,0.00000061,122.7
1425,3.589919,0.00000058,125.1
1450,3.589448,0.00000055,127.4
1475,3.581217,0.00000052,129.5
1500,3.409942,0.00000049,131.8
1525,3.479599,0.00000046,134.0
1550,3.296988,0.00000044,136.2
1575,3.464086,0.00000041,138.2
1600,3.308142,0.00000039,140.5
1625,3.337559,0.00000037,142.8
1650,3.479202,0.00000035,144.8
1675,3.494680,0.00000033,147.0
1700,3.526933,0.00000031,149.0
1725,3.477828,0.00000029,151.3
1750,3.299477,0.00000028,153.4
1775,3.385885,0.00000026,155.7
1800,3.508272,0.00000025,157.9
1825,3.276323,0.00000024,159.9
1850,3.405014,0.00000023,162.5
1875,3.299254,0.00000022,164.6
1900,3.455468,0.00000021,167.0
1925,3.511626,0.00000021,168.9
1950,3.432223,0.00000020,171.1
1975,3.452043,0.00000020,173.4
2000,3.466164,0.00000020,175.4
