step,loss,lr,elapsed_sec
25,7.587438,0.00000050,5.0
50,6.930071,0.00000100,9.5
75,6.295988,0.00000150,14.1
100,5.932765,0.00000200,18.5
125,5.262231,0.00000200,22.9
150,4.860477,0.00000200,27.1
175,4.471378,0.00000199,31.7
200,4.084939,0.00000199,36.0
225,3.682954,0.00000198,40.1
250,3.182067,0.00000197,44.3
275,3.052738,0.00000196,48.9
300,2.756268,0.00000195,53.2
325,2.597267,0.00000194,57.7
350,2.484853,0.00000192,61.9
375,2.229716,0.00000191,66.5
400,2.130747,0.00000189,70.8
425,2.051692,0.00000187,75.4
450,1.998023,0.00000185,79.6
475,1.910485,0.00000183,84.2
500,1.851846,0.00000181,88.5
525,1.832470,0.00000179,93.2
550,1.747987,0.00000176,97.5
575,1.775335,0.00000174,102.1
600,1.758125,0.00000171,106.4
625,1.740414,0.00000168,111.0
650,1.709631,0.00000165,115.3
675,1.709106,0.00000162,119.9
700,1.671190,0.00000159,124.2
725,1.676218,0.00000156,128.8
750,1.713875,0.00000153,133.2
775,1.665980,0.00000150,137.7
800,1.663868,0.00000146,142.1
825,1.656514,0.00000143,146.7
850,1.650831,0.00000139,151.0
875,1.631217,0.00000136,155.6
900,1.653761,0.00000132,159.8
925,1.621204,0.00000128,164.4
950,1.619390,0.00000125,168.7
975,1.620073,0.00000121,173.3
1000,1.636283,0.00000117,177.5
1025,1.616811,0.00000114,183.3
1050,1.588098,0.00000110,187.6
1075,1.608552,0.00000106,192.1
1100,1.602021,0.00000103,196.4
1125,1.596372,0.00000099,200.8
1150,1.600573,0.00000095,205.2
1175,1.587067,0.00000092,209.8
1200,1.597538,0.00000088,214.1
1225,1.592654,0.00000084,219.0
1250,1.589057,0.00000081,223.2
1275,1.585039,0.00000077,227.8
1300,1.607538,0.00000074,232.2
1325,1.576738,0.00000070,236.8
1350,1.588595,0.00000067,241.1
1375,1.575976,0.00000064,245.8
1400,1.587681,0.00000061,250.1
1425,1.573357,0.00000058,254.7
1450,1.578458,0.00000055,259.0
1475,1.576138,0.00000052,263.7
1500,1.570234,0.00000049,268.0
1525,1.575562,0.00000046,272.9
1550,1.579022,0.00000044,277.3
1575,1.567702,0.00000041,281.9
1600,1.565888,0.00000039,286.1
1625,1.569615,0.00000037,290.6
1650,1.565367,0.00000035,294.8
1675,1.566331,0.00000033,299.3
1700,1.572396,0.00000031,303.5
1725,1.568397,0.00000029,307.9
1750,1.579594,0.00000028,312.4
1775,1.567593,0.00000026,317.1
1800,1.557944,0.00000025,321.5
1825,1.563159,0.00000024,326.2
1850,1.568772,0.00000023,330.6
1875,1.560438,0.00000022,335.2
1900,1.561003,0.00000021,339.7
1925,1.561505,0.00000021,344.3
1950,1.553975,0.00000020,348.8
1975,1.558308,0.00000020,353.5
2000,1.552778,0.00000020,357.9
25,6.630110,0.00000050,2.7
50,6.302594,0.00000100,5.0
75,5.884275,0.00000150,7.1
100,5.645694,0.00000200,9.4
125,5.525961,0.00000200,11.5
150,5.153224,0.00000200,13.8
175,5.214051,0.00000199,15.8
200,4.995114,0.00000199,18.2
225,4.970381,0.00000198,20.7
250,4.797346,0.00000197,22.7
275,4.778118,0.00000196,24.9
300,4.777453,0.00000195,27.0
325,4.663059,0.00000194,29.3
350,4.688592,0.00000192,31.3
375,4.503299,0.00000191,33.6
400,4.531751,0.00000189,36.0
425,4.421736,0.00000187,38.0
450,4.163654,0.00000185,40.4
475,4.297402,0.00000183,42.5
500,4.297616,0.00000181,44.7
525,4.152459,0.00000179,47.1
550,4.118137,0.00000176,49.4
575,4.336782,0.00000174,51.7
600,4.041150,0.00000171,53.8
625,4.030912,0.00000168,56.2
650,4.005936,0.00000165,58.3
675,4.008577,0.00000162,60.8
700,3.992104,0.00000159,62.8
725,3.966413,0.00000156,65.2
750,3.926141,0.00000153,67.5
775,3.781525,0.00000150,69.6
800,3.781704,0.00000146,71.8
825,3.762165,0.00000143,73.9
850,3.810008,0.00000139,76.3
875,3.741561,0.00000136,78.3
900,3.685192,0.00000132,80.7
925,3.741267,0.00000128,83.0
