step,loss,lr,elapsed_sec
25,7.682820,0.00000050,7.2
50,6.636319,0.00000100,13.7
75,6.051945,0.00000150,20.4
100,5.453117,0.00000200,26.9
125,4.796555,0.00000200,33.5
150,4.232729,0.00000200,40.1
175,3.719313,0.00000199,46.7
200,3.211641,0.00000199,53.4
225,2.792105,0.00000198,60.0
250,2.456293,0.00000197,66.7
275,2.261576,0.00000196,73.4
300,2.087560,0.00000195,80.0
325,1.986916,0.00000194,86.7
350,1.891134,0.00000192,93.2
375,1.826731,0.00000191,99.8
400,1.783365,0.00000189,106.4
425,1.757551,0.00000187,113.0
450,1.714311,0.00000185,119.7
475,1.699663,0.00000183,126.4
500,1.680019,0.00000181,132.9
525,1.658997,0.00000179,140.0
550,1.641348,0.00000176,146.6
575,1.630753,0.00000174,153.1
600,1.626733,0.00000171,159.5
625,1.620290,0.00000168,165.7
650,1.616414,0.00000165,172.4
675,1.609597,0.00000162,178.7
700,1.589654,0.00000159,185.4
725,1.586660,0.00000156,192.0
750,1.581906,0.00000153,198.4
775,1.585492,0.00000150,204.8
800,1.572935,0.00000146,211.3
825,1.566714,0.00000143,217.8
850,1.567330,0.00000139,224.5
875,1.565058,0.00000136,230.9
900,1.557194,0.00000132,237.5
925,1.558611,0.00000128,243.7
950,1.554295,0.00000125,250.3
975,1.550184,0.00000121,256.9
1000,1.544037,0.00000117,263.4
1025,1.542642,0.00000114,271.1
1050,1.544717,0.00000110,277.7
1075,1.542182,0.00000106,284.3
1100,1.533514,0.00000103,290.9
1125,1.536205,0.00000099,297.4
1150,1.531398,0.00000095,304.0
1175,1.535092,0.00000092,310.6
1200,1.532633,0.00000088,317.2
1225,1.530084,0.00000084,323.8
1250,1.529729,0.00000081,330.5
1275,1.529121,0.00000077,337.3
1300,1.530036,0.00000074,343.8
1325,1.522169,0.00000070,350.3
1350,1.526258,0.00000067,356.6
1375,1.524831,0.00000064,363.3
1400,1.521208,0.00000061,370.0
1425,1.521936,0.00000058,376.7
1450,1.521163,0.00000055,383.2
1475,1.519876,0.00000052,390.1
1500,1.517101,0.00000049,396.9
1525,1.521708,0.00000046,404.2
1550,1.514968,0.00000044,410.9
1575,1.519347,0.00000041,417.4
1600,1.515476,0.00000039,423.9
1625,1.512596,0.00000037,430.6
1650,1.512619,0.00000035,437.2
1675,1.515806,0.00000033,443.8
1700,1.517289,0.00000031,450.4
1725,1.515275,0.00000029,457.1
1750,1.517756,0.00000028,463.8
1775,1.514548,0.00000026,470.3
