step,loss,lr,elapsed_sec
25,7.369447,0.00000050,4.9
50,6.743780,0.00000100,9.2
75,6.194614,0.00000150,13.8
100,5.711790,0.00000200,18.2
125,5.359361,0.00000200,22.6
150,4.806988,0.00000200,26.7
175,4.639940,0.00000199,30.9
200,4.338210,0.00000199,34.9
225,3.999906,0.00000198,39.1
250,3.763565,0.00000197,43.1
275,3.381625,0.00000196,47.3
300,3.103012,0.00000195,51.5
325,2.873680,0.00000194,55.9
350,2.540729,0.00000192,60.1
375,2.481878,0.00000191,64.6
400,2.305304,0.00000189,68.8
425,2.239026,0.00000187,73.1
450,2.048099,0.00000185,77.4
475,2.038012,0.00000183,82.0
500,1.962416,0.00000181,86.1
525,1.907948,0.00000179,90.9
550,1.881247,0.00000176,95.2
575,1.823624,0.00000174,99.7
600,1.799337,0.00000171,103.9
625,1.774672,0.00000168,108.3
650,1.751631,0.00000165,112.4
675,1.744424,0.00000162,116.9
700,1.725919,0.00000159,121.1
725,1.709716,0.00000156,125.5
750,1.706344,0.00000153,129.7
775,1.687121,0.00000150,134.2
800,1.675680,0.00000146,138.4
825,1.669804,0.00000143,142.9
850,1.672850,0.00000139,147.3
875,1.655623,0.00000136,151.9
900,1.636978,0.00000132,156.1
925,1.648121,0.00000128,160.5
950,1.642546,0.00000125,164.8
975,1.628277,0.00000121,169.3
1000,1.646070,0.00000117,173.6
1025,1.633328,0.00000114,179.2
1050,1.632516,0.00000110,183.3
1075,1.629324,0.00000106,188.0
1100,1.600605,0.00000103,192.2
1125,1.609183,0.00000099,196.9
1150,1.613943,0.00000095,201.2
1175,1.605130,0.00000092,205.7
1200,1.604606,0.00000088,210.0
1225,1.595096,0.00000084,214.6
1250,1.594141,0.00000081,218.9
1275,1.592437,0.00000077,223.5
1300,1.576225,0.00000074,227.8
1325,1.589640,0.00000070,232.4
1350,1.577008,0.00000067,236.7
1375,1.594649,0.00000064,241.3
1400,1.591584,0.00000061,245.6
1425,1.581097,0.00000058,250.3
1450,1.589097,0.00000055,254.6
1475,1.579894,0.00000052,259.3
1500,1.596204,0.00000049,263.6
1525,1.577109,0.00000046,268.5
1550,1.584160,0.00000044,272.8
1575,1.579941,0.00000041,277.3
1600,1.571789,0.00000039,281.7
1625,1.577930,0.00000037,286.3
1650,1.586898,0.00000035,290.5
1675,1.578295,0.00000033,295.1
1700,1.592684,0.00000031,299.5
1725,1.573570,0.00000029,304.0
1750,1.581942,0.00000028,308.4
1775,1.579522,0.00000026,313.0
1800,1.572156,0.00000025,317.3
1825,1.568425,0.00000024,321.7
1850,1.570740,0.00000023,325.5
1875,1.571566,0.00000022,329.9
1900,1.558230,0.00000021,334.1
1925,1.573369,0.00000021,338.6
1950,1.579461,0.00000020,342.9
1975,1.571734,0.00000020,347.6
2000,1.569958,0.00000020,351.9
25,6.429214,0.00000050,2.5
50,6.112075,0.00000100,4.3
75,5.647352,0.00000150,6.1
100,5.601318,0.00000200,8.3
125,5.568080,0.00000200,10.0
150,5.419721,0.00000200,11.8
175,5.235673,0.00000199,13.6
200,5.243780,0.00000199,15.6
225,5.236152,0.00000198,17.3
250,4.910802,0.00000197,19.1
275,4.964550,0.00000196,20.9
300,4.879057,0.00000195,22.9
325,4.716145,0.00000194,24.7
350,4.985352,0.00000192,26.5
375,4.567625,0.00000191,28.5
400,4.508291,0.00000189,30.3
425,4.487291,0.00000187,32.0
450,4.632505,0.00000185,33.7
475,4.485433,0.00000183,35.8
500,4.474898,0.00000181,37.5
525,4.523829,0.00000179,39.6
550,4.452149,0.00000176,41.4
575,4.306631,0.00000174,43.5
600,4.358312,0.00000171,45.3
625,4.277172,0.00000168,47.0
650,4.262727,0.00000165,49.0
675,4.040881,0.00000162,50.8
700,4.147985,0.00000159,52.5
725,3.966885,0.00000156,54.2
750,4.183736,0.00000153,56.3
775,3.800234,0.00000150,58.1
800,3.886465,0.00000146,59.8
825,4.064984,0.00000143,61.6
850,3.944019,0.00000139,63.6
875,3.828596,0.00000136,65.4
900,3.790876,0.00000132,67.1
925,3.898320,0.00000128,69.0
950,3.971373,0.00000125,70.8
975,3.790535,0.00000121,72.5
1000,3.791218,0.00000117,74.3
1025,3.897157,0.00000114,77.4
1050,3.859244,0.00000110,79.2
1075,3.822062,0.00000106,80.9
1100,3.642247,0.00000103,82.6
1125,3.597977,0.00000099,84.7
1150,3.516713,0.00000095,86.5
1175,3.508235,0.00000092,88.2
1200,3.617137,0.00000088,90.2
1225,3.560662,0.00000084,92.0
1250,3.604573,0.00000081,93.7
1275,3.645314,0.00000077,95.5
1300,3.635040,0.00000074,97.5
1325,3.624073,0.00000070,99.2
1350,3.577640,0.00000067,100.9
1375,3.471477,0.00000064,102.7
1400,3.504147,0.00000061,104.8
1425,3.622988,0.00000058,106.5
1450,3.444881,0.00000055,108.3
1475,3.316669,0.00000052,110.2
1500,3.518065,0.00000049,111.9
1525,3.421533,0.00000046,114.0
1550,3.494926,0.00000044,115.8
1575,3.488857,0.00000041,117.9
1600,3.430818,0.00000039,119.8
1625,3.540702,0.00000037,121.6
1650,3.483814,0.00000035,123.3
1675,3.503087,0.00000033,125.3
1700,3.451568,0.00000031,127.1
1725,3.384717,0.00000029,128.8
1750,3.478204,0.00000028,130.9
1775,3.409207,0.00000026,132.6
1800,3.551519,0.00000025,134.3
1825,3.390213,0.00000024,136.1
1850,3.477011,0.00000023,138.1
1875,3.343520,0.00000022,139.8
1900,3.337410,0.00000021,141.6
1925,3.359124,0.00000021,143.3
1950,3.386214,0.00000020,145.4
1975,3.382159,0.00000020,147.1
2000,3.353777,0.00000020,148.9
