step,loss,lr,elapsed_sec
25,7.473538,0.00000050,5.2
50,6.401234,0.00000100,9.7
75,5.720246,0.00000150,14.6
100,5.433357,0.00000200,19.2
125,4.801411,0.00000200,24.1
150,4.437931,0.00000200,28.7
175,4.143846,0.00000199,33.5
200,4.059494,0.00000199,38.1
225,3.672110,0.00000198,42.9
250,3.502923,0.00000197,47.5
275,3.167162,0.00000196,52.4
300,3.042866,0.00000195,56.9
325,2.749902,0.00000194,61.7
350,2.611998,0.00000192,66.3
375,2.386549,0.00000191,71.2
400,2.357943,0.00000189,75.7
425,2.156243,0.00000187,80.6
450,2.077782,0.00000185,85.1
475,2.005394,0.00000183,90.0
500,1.978374,0.00000181,94.6
525,1.892261,0.00000179,99.8
550,1.848279,0.00000176,104.3
575,1.840723,0.00000174,109.1
600,1.789345,0.00000171,113.7
625,1.782163,0.00000168,118.6
650,1.757558,0.00000165,123.2
675,1.748609,0.00000162,128.1
700,1.745782,0.00000159,132.7
725,1.727262,0.00000156,137.6
750,1.667823,0.00000153,142.2
775,1.681694,0.00000150,146.9
800,1.694910,0.00000146,151.4
825,1.673648,0.00000143,156.2
850,1.674685,0.00000139,160.8
875,1.657137,0.00000136,165.8
900,1.661844,0.00000132,170.3
925,1.656384,0.00000128,175.1
950,1.642759,0.00000125,179.6
975,1.632730,0.00000121,184.4
1000,1.619458,0.00000117,189.0
1025,1.622399,0.00000114,195.1
1050,1.630915,0.00000110,199.7
1075,1.617731,0.00000106,204.5
1100,1.607256,0.00000103,209.1
1125,1.617377,0.00000099,214.0
1150,1.616510,0.00000095,218.6
1175,1.599166,0.00000092,223.5
1200,1.613584,0.00000088,228.1
1225,1.595795,0.00000084,233.0
1250,1.597454,0.00000081,237.6
1275,1.598839,0.00000077,242.4
1300,1.594989,0.00000074,247.0
1325,1.586648,0.00000070,251.8
1350,1.586998,0.00000067,256.5
1375,1.588830,0.00000064,261.3
1400,1.600892,0.00000061,265.8
1425,1.580753,0.00000058,270.6
1450,1.580536,0.00000055,275.2
1475,1.584948,0.00000052,280.1
1500,1.575894,0.00000049,284.7
1525,1.581358,0.00000046,289.8
1550,1.598595,0.00000044,294.3
1575,1.580650,0.00000041,299.2
1600,1.558147,0.00000039,303.8
1625,1.569087,0.00000037,308.7
1650,1.587315,0.00000035,313.3
1675,1.580844,0.00000033,318.1
1700,1.572207,0.00000031,322.4
1725,1.573126,0.00000029,327.3
1750,1.577919,0.00000028,331.9
1775,1.566711,0.00000026,336.7
1800,1.562833,0.00000025,341.1
1825,1.569377,0.00000024,346.0
1850,1.568487,0.00000023,350.6
1875,1.570593,0.00000022,355.5
1900,1.566592,0.00000021,360.0
1925,1.570496,0.00000021,364.9
