step,loss,lr,elapsed_sec
25,7.689520,0.00000050,8.8
50,6.716508,0.00000100,16.9
75,6.020811,0.00000150,25.2
100,5.287943,0.00000200,33.4
125,4.578944,0.00000200,41.3
150,3.980696,0.00000200,49.4
175,3.377873,0.00000199,57.7
200,2.937163,0.00000199,65.8
225,2.555013,0.00000198,73.9
250,2.273836,0.00000197,82.0
275,2.049498,0.00000196,90.1
300,1.941724,0.00000195,98.3
325,1.865979,0.00000194,106.4
350,1.798495,0.00000192,114.5
375,1.763592,0.00000191,122.7
400,1.723162,0.00000189,130.8
425,1.691958,0.00000187,138.9
450,1.662310,0.00000185,147.2
475,1.662909,0.00000183,155.3
500,1.634554,0.00000181,163.3
525,1.616175,0.00000179,171.8
550,1.609401,0.00000176,179.9
575,1.602011,0.00000174,188.2
600,1.594864,0.00000171,196.5
625,1.577960,0.00000168,204.8
650,1.573897,0.00000165,212.9
675,1.577505,0.00000162,221.0
700,1.567708,0.00000159,229.2
725,1.562828,0.00000156,237.4
750,1.552315,0.00000153,245.5
775,1.553387,0.00000150,253.6
800,1.549256,0.00000146,261.5
825,1.549780,0.00000143,269.3
850,1.546590,0.00000139,277.2
875,1.538214,0.00000136,285.1
900,1.535963,0.00000132,293.3
925,1.532035,0.00000128,301.4
950,1.533954,0.00000125,309.6
975,1.527339,0.00000121,317.8
1000,1.521675,0.00000117,325.8
1025,1.520438,0.00000114,335.3
1050,1.523410,0.00000110,343.7
1075,1.518775,0.00000106,351.8
1100,1.523340,0.00000103,360.1
1125,1.515333,0.00000099,368.4
1150,1.524114,0.00000095,376.7
1175,1.521278,0.00000092,384.9
1200,1.512257,0.00000088,393.3
1225,1.512701,0.00000084,401.7
1250,1.510734,0.00000081,410.0
1275,1.508052,0.00000077,418.3
1300,1.508805,0.00000074,426.7
1325,1.506602,0.00000070,434.9
1350,1.506241,0.00000067,443.2
1375,1.505824,0.00000064,451.5
1400,1.509058,0.00000061,459.5
1425,1.505562,0.00000058,467.6
1450,1.498836,0.00000055,475.8
1475,1.503707,0.00000052,484.0
1500,1.501331,0.00000049,492.2
1525,1.496669,0.00000046,501.7
1550,1.499107,0.00000044,510.2
1575,1.501932,0.00000041,518.5
1600,1.503600,0.00000039,526.6
1625,1.497753,0.00000037,535.0
1650,1.499225,0.00000035,543.1
1675,1.502082,0.00000033,551.3
1700,1.501804,0.00000031,559.5
1725,1.502010,0.00000029,567.6
1750,1.497096,0.00000028,575.6
1775,1.492495,0.00000026,583.8
1800,1.495638,0.00000025,592.0
1825,1.497882,0.00000024,600.1
1850,1.501237,0.00000023,608.4
1875,1.496515,0.00000022,616.7
1900,1.495353,0.00000021,624.7
1925,1.498027,0.00000021,632.9
1950,1.497087,0.00000020,641.0
1975,1.500078,0.00000020,649.2
2000,1.492244,0.00000020,657.5
25,5.796754,0.00000050,2.4
50,5.510858,0.00000100,4.2
75,5.074641,0.00000150,6.0
100,4.963431,0.00000200,7.8
125,5.476797,0.00000200,9.6
150,4.661473,0.00000200,11.4
175,5.136026,0.00000199,13.1
200,4.815771,0.00000199,14.9
225,4.941091,0.00000198,16.6
250,4.808867,0.00000197,18.4
275,4.263230,0.00000196,20.1
300,4.696486,0.00000195,21.9
325,4.451640,0.00000194,24.1
350,4.624072,0.00000192,25.9
375,4.281115,0.00000191,27.7
400,4.557701,0.00000189,29.4
425,4.503298,0.00000187,31.3
450,4.275314,0.00000185,33.1
475,4.218626,0.00000183,34.9
500,4.261313,0.00000181,36.7
525,3.969596,0.00000179,38.7
550,4.255837,0.00000176,40.6
575,4.392149,0.00000174,42.3
600,4.277512,0.00000171,44.1
625,4.040056,0.00000168,46.1
650,4.147602,0.00000165,47.9
675,4.003144,0.00000162,49.6
700,4.171917,0.00000159,51.3
725,3.936457,0.00000156,53.1
750,4.036211,0.00000153,54.8
775,4.077185,0.00000150,56.7
800,3.994083,0.00000146,58.5
825,3.965353,0.00000143,60.2
850,4.011509,0.00000139,62.0
875,3.927675,0.00000136,63.8
900,3.814810,0.00000132,65.6
925,3.819260,0.00000128,67.6
950,3.824067,0.00000125,69.5
975,3.827000,0.00000121,71.3
1000,3.829672,0.00000117,73.1
1025,3.924326,0.00000114,76.0
1050,3.655761,0.00000110,77.9
1075,3.817433,0.00000106,79.7
1100,3.624811,0.00000103,81.5
1125,3.745696,0.00000099,83.4
1150,3.811970,0.00000095,85.2
1175,3.629320,0.00000092,87.0
1200,3.742128,0.00000088,88.8
1225,3.705040,0.00000084,91.0
1250,3.490151,0.00000081,92.8
1275,3.562289,0.00000077,94.5
1300,3.593553,0.00000074,96.4
1325,3.539711,0.00000070,98.2
1350,3.747692,0.00000067,100.1
1375,3.440787,0.00000064,101.9
1400,3.665572,0.00000061,103.5
1425,3.802834,0.00000058,105.1
1450,3.613301,0.00000055,106.8
1475,3.715903,0.00000052,108.6
1500,3.366081,0.00000049,110.3
1525,3.468536,0.00000046,112.5
1550,3.537802,0.00000044,114.2
1575,3.354364,0.00000041,115.9
1600,3.364708,0.00000039,117.6
1625,3.433826,0.00000037,119.2
1650,3.624285,0.00000035,120.9
1675,3.615598,0.00000033,122.6
1700,3.552987,0.00000031,124.3
1725,3.561586,0.00000029,126.0
1750,3.689278,0.00000028,127.8
1775,3.452449,0.00000026,129.6
1800,3.709705,0.00000025,131.4
1825,3.289435,0.00000024,133.5
1850,3.453699,0.00000023,135.3
1875,3.481647,0.00000022,137.1
1900,3.541490,0.00000021,138.8
1925,3.471974,0.00000021,140.6
1950,3.545694,0.00000020,142.4
1975,3.529217,0.00000020,144.1
2000,3.653966,0.00000020,145.9
