step,loss,lr,elapsed_sec
25,7.734772,0.00000038,8.6
50,6.921803,0.00000075,16.9
75,6.320618,0.00000113,25.2
100,5.713006,0.00000150,33.6
125,5.111476,0.00000150,42.0
150,4.626536,0.00000150,49.9
175,4.167673,0.00000149,58.0
200,3.743033,0.00000149,66.2
225,3.327702,0.00000149,74.5
250,2.966822,0.00000148,82.8
275,2.679068,0.00000147,91.1
300,2.422586,0.00000146,99.4
325,2.234763,0.00000145,107.6
350,2.086568,0.00000144,116.0
375,2.007130,0.00000143,124.5
400,1.925676,0.00000142,132.9
425,1.861777,0.00000140,141.1
450,1.822526,0.00000139,149.2
475,1.776001,0.00000137,157.3
500,1.744501,0.00000136,165.5
525,1.729529,0.00000134,174.1
550,1.697466,0.00000132,182.4
575,1.682349,0.00000130,190.8
600,1.661107,0.00000128,199.1
625,1.653914,0.00000126,207.6
650,1.643692,0.00000124,215.8
675,1.631743,0.00000122,224.2
700,1.622995,0.00000119,232.6
725,1.618885,0.00000117,241.0
750,1.610264,0.00000115,249.3
775,1.606652,0.00000112,257.6
800,1.600211,0.00000110,265.9
825,1.594703,0.00000107,274.0
850,1.590020,0.00000104,282.3
875,1.583741,0.00000102,290.6
900,1.577839,0.00000099,299.1
925,1.577855,0.00000096,307.2
950,1.564649,0.00000094,315.5
975,1.563121,0.00000091,323.7
1000,1.563363,0.00000088,332.0
1025,1.567956,0.00000085,341.3
1050,1.563871,0.00000083,349.6
1075,1.555184,0.00000080,357.9
1100,1.555758,0.00000077,366.3
1125,1.555306,0.00000074,374.6
1150,1.549092,0.00000071,382.9
1175,1.552436,0.00000069,391.1
1200,1.548054,0.00000066,399.4
1225,1.549971,0.00000063,407.7
1250,1.546552,0.00000061,415.9
1275,1.549494,0.00000058,424.4
1300,1.539073,0.00000055,432.5
1325,1.541338,0.00000053,440.7
1350,1.536545,0.00000050,448.9
1375,1.540369,0.00000048,457.2
1400,1.535932,0.00000046,465.5
1425,1.536764,0.00000043,473.8
1450,1.536972,0.00000041,482.0
1475,1.532533,0.00000039,490.1
1500,1.534811,0.00000037,498.3
1525,1.532436,0.00000035,506.9
1550,1.530231,0.00000033,515.2
1575,1.533430,0.00000031,523.4
1600,1.529482,0.00000029,531.7
1625,1.530478,0.00000028,540.0
1650,1.530086,0.00000026,548.0
1675,1.531058,0.00000025,556.3
1700,1.528558,0.00000023,564.5
1725,1.526830,0.00000022,572.8
1750,1.526334,0.00000021,581.1
1775,1.530522,0.00000020,589.3
1800,1.525930,0.00000019,597.4
1825,1.530179,0.00000018,605.6
1850,1.524679,0.00000017,613.8
1875,1.528389,0.00000016,622.0
1900,1.526306,0.00000016,630.3
1925,1.529378,0.00000016,638.6
1950,1.527003,0.00000015,646.9
1975,1.523069,0.00000015,655.1
2000,1.524558,0.00000015,663.5
25,6.147817,0.00000038,2.4
50,5.780375,0.00000075,4.3
75,5.618112,0.00000113,6.4
100,5.296326,0.00000150,8.1
125,5.203276,0.00000150,10.3
150,5.030853,0.00000150,12.1
175,5.082170,0.00000149,14.2
200,5.176427,0.00000149,16.0
225,4.836845,0.00000149,18.0
250,4.925488,0.00000148,19.8
275,4.611785,0.00000147,21.9
300,4.661871,0.00000146,23.7
325,4.440690,0.00000145,25.7
350,4.643245,0.00000144,27.5
375,4.539461,0.00000143,29.6
400,4.471846,0.00000142,31.4
425,4.356407,0.00000140,33.5
450,4.511051,0.00000139,35.3
475,4.424445,0.00000137,37.4
500,4.543572,0.00000136,39.2
525,4.234002,0.00000134,41.6
550,4.334102,0.00000132,43.4
575,4.521516,0.00000130,45.5
600,4.419765,0.00000128,47.3
625,4.296659,0.00000126,49.4
650,4.469108,0.00000124,51.2
675,4.135093,0.00000122,53.4
700,4.225866,0.00000119,55.3
725,4.167174,0.00000117,57.5
750,4.029199,0.00000115,59.2
775,3.973357,0.00000112,61.3
800,3.964183,0.00000110,63.1
825,4.051589,0.00000107,65.2
850,4.175453,0.00000104,67.0
875,4.054600,0.00000102,69.1
900,3.940048,0.00000099,70.8
925,3.882988,0.00000096,72.9
950,3.944929,0.00000094,74.7
975,3.907936,0.00000091,76.7
1000,3.935517,0.00000088,78.5
1025,3.628264,0.00000085,81.7
1050,3.906267,0.00000083,83.5
1075,3.960674,0.00000080,85.6
1100,3.729745,0.00000077,87.4
1125,3.808646,0.00000074,89.7
1150,3.753893,0.00000071,91.5
1175,3.830679,0.00000069,93.6
1200,3.706503,0.00000066,95.5
1225,3.669491,0.00000063,97.6
1250,3.845925,0.00000061,99.4
1275,3.688070,0.00000058,101.5
1300,3.880455,0.00000055,103.4
1325,3.773623,0.00000053,105.6
1350,3.788303,0.00000050,107.4
1375,3.962698,0.00000048,109.5
1400,3.630493,0.00000046,111.4
1425,3.475480,0.00000043,113.5
1450,3.480672,0.00000041,115.3
1475,3.694234,0.00000039,117.3
1500,3.588258,0.00000037,119.0
1525,3.664253,0.00000035,121.4
1550,3.707245,0.00000033,123.2
1575,3.680440,0.00000031,125.2
1600,3.707223,0.00000029,127.0
1625,3.596697,0.00000028,129.1
1650,3.620605,0.00000026,130.9
1675,3.506935,0.00000025,133.0
1700,3.525249,0.00000023,134.8
1725,3.483664,0.00000022,136.9
