step,loss,lr,elapsed_sec
25,6.543681,0.00000050,8.6
50,5.573628,0.00000100,16.7
75,4.625473,0.00000150,24.8
100,3.812365,0.00000200,32.9
125,3.069044,0.00000200,41.0
150,2.535389,0.00000200,48.8
175,2.151591,0.00000199,56.7
200,1.922321,0.00000199,64.7
225,1.763562,0.00000198,72.8
250,1.704040,0.00000197,80.8
275,1.653207,0.00000196,88.7
300,1.628245,0.00000195,96.6
325,1.608047,0.00000194,104.5
350,1.590282,0.00000192,112.6
375,1.581351,0.00000191,120.7
400,1.564183,0.00000189,128.7
425,1.554522,0.00000187,136.7
450,1.550421,0.00000185,144.6
475,1.533281,0.00000183,152.6
500,1.532717,0.00000181,160.6
525,1.530320,0.00000179,169.0
550,1.525218,0.00000176,177.1
575,1.522556,0.00000174,185.0
600,1.514555,0.00000171,192.9
625,1.508910,0.00000168,200.7
650,1.504990,0.00000165,208.8
675,1.509297,0.00000162,216.7
700,1.500556,0.00000159,224.6
725,1.500853,0.00000156,232.7
750,1.492360,0.00000153,240.8
775,1.492351,0.00000150,248.8
800,1.493150,0.00000146,257.0
825,1.490847,0.00000143,265.1
850,1.486008,0.00000139,273.1
875,1.486998,0.00000136,281.3
900,1.480367,0.00000132,289.4
925,1.484018,0.00000128,297.4
950,1.480109,0.00000125,305.3
975,1.479693,0.00000121,313.4
1000,1.481368,0.00000117,321.6
1025,1.479525,0.00000114,330.7
1050,1.474196,0.00000110,338.5
1075,1.473292,0.00000106,346.7
1100,1.475192,0.00000103,354.7
1125,1.471711,0.00000099,362.8
1150,1.474218,0.00000095,371.0
1175,1.471588,0.00000092,378.9
1200,1.471013,0.00000088,387.0
1225,1.469542,0.00000084,395.0
1250,1.471340,0.00000081,403.2
1275,1.469966,0.00000077,411.4
1300,1.468126,0.00000074,419.6
1325,1.468102,0.00000070,427.6
1350,1.465910,0.00000067,435.9
1375,1.463198,0.00000064,444.1
1400,1.465232,0.00000061,452.2
1425,1.467658,0.00000058,460.4
1450,1.466231,0.00000055,468.7
1475,1.463646,0.00000052,476.8
1500,1.465775,0.00000049,484.9
1525,1.464865,0.00000046,493.6
1550,1.462416,0.00000044,502.0
1575,1.463843,0.00000041,510.2
1600,1.461708,0.00000039,518.2
1625,1.461390,0.00000037,526.3
1650,1.461858,0.00000035,534.4
1675,1.462920,0.00000033,542.5
1700,1.458685,0.00000031,550.5
1725,1.455935,0.00000029,558.6
1750,1.458817,0.00000028,566.9
1775,1.461288,0.00000026,575.1
1800,1.459413,0.00000025,583.1
1825,1.459664,0.00000024,591.4
1850,1.461307,0.00000023,599.8
1875,1.460935,0.00000022,607.8
1900,1.458230,0.00000021,615.8
1925,1.458270,0.00000021,624.0
1950,1.459830,0.00000020,632.4
1975,1.456385,0.00000020,640.5
2000,1.460133,0.00000020,648.8
25,5.840230,0.00000050,2.4
50,5.854777,0.00000100,4.2
75,5.282206,0.00000150,5.9
100,4.938529,0.00000200,8.0
125,5.143425,0.00000200,9.7
150,5.180105,0.00000200,11.5
175,5.115292,0.00000199,13.4
200,4.874704,0.00000199,15.4
225,4.601773,0.00000198,17.1
250,4.722727,0.00000197,18.9
275,5.020702,0.00000196,20.7
300,4.625904,0.00000195,22.8
325,4.581156,0.00000194,24.5
350,4.383926,0.00000192,26.3
