step,loss,lr,elapsed_sec
25,7.178709,0.00000050,8.1
50,6.244045,0.00000100,16.0
75,5.460208,0.00000150,23.8
100,4.574691,0.00000200,31.8
125,3.599203,0.00000200,39.9
150,2.784622,0.00000200,48.0
175,2.243096,0.00000199,56.1
200,1.928510,0.00000199,64.1
225,1.759706,0.00000198,72.2
250,1.683458,0.00000197,80.2
275,1.656920,0.00000196,88.4
300,1.609362,0.00000195,96.6
325,1.594501,0.00000194,104.7
350,1.574529,0.00000192,113.0
375,1.568037,0.00000191,121.1
400,1.552160,0.00000189,129.4
425,1.548671,0.00000187,137.5
450,1.537670,0.00000185,145.7
475,1.527358,0.00000183,153.9
500,1.527192,0.00000181,161.9
525,1.518479,0.00000179,170.5
550,1.512741,0.00000176,178.3
575,1.513369,0.00000174,185.8
600,1.497406,0.00000171,193.2
625,1.506016,0.00000168,200.4
650,1.501328,0.00000165,207.8
675,1.498367,0.00000162,215.2
700,1.489577,0.00000159,222.7
725,1.488147,0.00000156,230.5
750,1.490630,0.00000153,238.5
775,1.484076,0.00000150,246.7
800,1.478087,0.00000146,254.6
825,1.483045,0.00000143,262.4
850,1.478366,0.00000139,270.3
875,1.478191,0.00000136,278.5
900,1.472157,0.00000132,286.5
925,1.473377,0.00000128,294.5
950,1.473763,0.00000125,302.5
975,1.471175,0.00000121,310.5
1000,1.469485,0.00000117,318.5
1025,1.468652,0.00000114,327.7
1050,1.470499,0.00000110,335.6
1075,1.467466,0.00000106,343.7
1100,1.465961,0.00000103,351.8
1125,1.461929,0.00000099,359.9
1150,1.463354,0.00000095,368.0
1175,1.459857,0.00000092,375.7
1200,1.460203,0.00000088,383.5
1225,1.461706,0.00000084,391.7
1250,1.462612,0.00000081,399.9
1275,1.460316,0.00000077,408.2
1300,1.456370,0.00000074,416.2
1325,1.460455,0.00000070,424.4
1350,1.455921,0.00000067,432.7
1375,1.456635,0.00000064,440.7
1400,1.457463,0.00000061,448.9
1425,1.453671,0.00000058,457.0
1450,1.455162,0.00000055,465.0
1475,1.455014,0.00000052,473.2
1500,1.454671,0.00000049,481.4
1525,1.452849,0.00000046,490.2
1550,1.453466,0.00000044,498.4
1575,1.452350,0.00000041,506.5
1600,1.454873,0.00000039,514.5
1625,1.451489,0.00000037,522.8
1650,1.453360,0.00000035,531.1
1675,1.455645,0.00000033,539.2
1700,1.456022,0.00000031,547.4
1725,1.451817,0.00000029,555.5
1750,1.456159,0.00000028,563.6
1775,1.452453,0.00000026,571.8
1800,1.453928,0.00000025,579.9
1825,1.456595,0.00000024,588.2
1850,1.453176,0.00000023,596.3
1875,1.449864,0.00000022,604.4
1900,1.451573,0.00000021,612.5
1925,1.452166,0.00000021,620.6
1950,1.452168,0.00000020,628.8
1975,1.453719,0.00000020,636.9
2000,1.453421,0.00000020,645.0
25,6.527950,0.00000050,2.2
50,5.549981,0.00000100,3.9
75,5.470813,0.00000150,5.7
100,5.606847,0.00000200,7.7
125,5.511900,0.00000200,9.4
150,5.084880,0.00000200,11.2
175,4.941596,0.00000199,12.9
200,4.784648,0.00000199,14.9
225,4.459195,0.00000198,16.6
250,4.712451,0.00000197,18.4
275,4.716838,0.00000196,20.1
300,4.678185,0.00000195,22.0
325,4.469602,0.00000194,23.7
350,4.489313,0.00000192,25.4
375,4.357708,0.00000191,27.4
400,4.398427,0.00000189,29.1
425,4.294837,0.00000187,30.8
450,4.226572,0.00000185,32.5
475,4.165691,0.00000183,34.4
500,4.172507,0.00000181,36.1
525,4.028035,0.00000179,38.0
550,4.360420,0.00000176,39.7
575,3.931032,0.00000174,41.7
600,3.927980,0.00000171,43.3
625,4.095052,0.00000168,45.1
650,3.876200,0.00000165,47.0
675,4.033340,0.00000162,48.7
700,4.018626,0.00000159,50.4
725,3.852230,0.00000156,52.1
