step,loss,lr,elapsed_sec
25,6.684758,0.00000038,9.3
50,5.965309,0.00000075,18.5
75,5.371876,0.00000113,27.7
100,4.792439,0.00000150,37.0
125,4.300888,0.00000150,46.2
150,3.846083,0.00000150,55.3
175,3.472332,0.00000149,64.4
200,3.071101,0.00000149,73.6
225,2.767040,0.00000149,82.7
250,2.498472,0.00000148,91.7
275,2.239496,0.00000147,100.7
300,2.067680,0.00000146,110.0
325,1.956536,0.00000145,119.2
350,1.862373,0.00000144,128.2
375,1.802498,0.00000143,137.3
400,1.746083,0.00000142,146.3
25,5.001802,0.00000038,2.4
50,5.072433,0.00000075,4.1
75,4.688691,0.00000113,6.1
100,4.581000,0.00000150,8.0
125,4.663704,0.00000150,10.1
150,4.488337,0.00000150,11.8
175,4.158968,0.00000149,13.6
200,4.491630,0.00000149,15.3
225,4.004203,0.00000149,17.2
250,4.637333,0.00000148,18.9
275,4.395168,0.00000147,20.8
300,3.919739,0.00000146,22.5
325,4.292574,0.00000145,24.3
350,4.134879,0.00000144,26.0
375,4.256675,0.00000143,27.9
400,4.024934,0.00000142,29.5
425,3.728072,0.00000140,31.5
450,3.940229,0.00000139,33.2
475,4.249552,0.00000137,35.2
500,4.097721,0.00000136,36.9
525,3.678182,0.00000134,39.0
550,3.766514,0.00000132,40.9
575,3.843706,0.00000130,42.8
600,3.868853,0.00000128,44.6
625,3.754063,0.00000126,46.5
650,3.987267,0.00000124,48.2
675,3.809024,0.00000122,50.0
700,3.720697,0.00000119,51.7
725,3.734954,0.00000117,53.6
750,3.718778,0.00000115,55.2
775,3.683507,0.00000112,57.1
800,3.651874,0.00000110,58.9
825,3.552751,0.00000107,60.7
850,3.576697,0.00000104,62.4
875,3.647171,0.00000102,64.3
900,3.490798,0.00000099,66.0
925,3.319728,0.00000096,67.9
950,3.621747,0.00000094,69.7
975,3.714255,0.00000091,71.6
1000,3.525595,0.00000088,73.3
1025,3.423264,0.00000085,76.2
1050,3.278246,0.00000083,77.9
1075,3.513312,0.00000080,79.7
1100,3.468827,0.00000077,81.4
1125,3.393816,0.00000074,83.2
1150,3.319687,0.00000071,84.9
1175,3.487490,0.00000069,86.8
1200,3.436916,0.00000066,88.5
1225,3.263537,0.00000063,90.3
1250,3.376884,0.00000061,91.9
1275,3.250483,0.00000058,93.8
1300,3.617082,0.00000055,95.4
1325,3.420115,0.00000053,97.3
1350,3.436509,0.00000050,98.9
1375,3.579642,0.00000048,100.8
1400,3.109706,0.00000046,102.5
1425,3.585675,0.00000043,104.3
1450,3.429322,0.00000041,105.9
1475,3.510449,0.00000039,107.9
1500,3.304621,0.00000037,109.5
1525,3.346862,0.00000035,111.7
1550,3.122516,0.00000033,113.4
1575,3.216935,0.00000031,115.4
1600,3.360709,0.00000029,117.1
1625,3.367504,0.00000028,119.0
1650,3.330383,0.00000026,120.7
1675,3.217535,0.00000025,122.7
1700,3.402463,0.00000023,124.4
1725,3.423187,0.00000022,126.3
1750,3.344241,0.00000021,127.9
1775,3.204024,0.00000020,129.7
1800,3.062304,0.00000019,131.4
1825,3.218967,0.00000018,133.4
1850,3.095034,0.00000017,135.0
1875,3.174577,0.00000016,136.9
1900,3.327663,0.00000016,138.6
1925,3.219783,0.00000016,140.5
1950,3.333381,0.00000015,142.3
1975,3.289703,0.00000015,144.2
2000,3.189254,0.00000015,145.9
