step,loss,lr,elapsed_sec
25,6.564834,0.00000050,2.4
50,6.194810,0.00000100,4.2
75,6.014148,0.00000150,6.3
100,5.902415,0.00000200,8.0
125,5.655713,0.00000200,10.1
150,5.597053,0.00000200,11.9
175,5.241117,0.00000199,14.0
200,5.244803,0.00000199,15.7
225,4.962735,0.00000198,17.8
250,5.000648,0.00000197,19.6
275,5.191262,0.00000196,21.7
300,4.848063,0.00000195,23.5
325,4.772167,0.00000194,25.4
350,4.947208,0.00000192,27.2
375,4.857856,0.00000191,29.2
400,4.654785,0.00000189,30.9
425,4.827171,0.00000187,32.9
450,4.596605,0.00000185,34.7
475,4.525821,0.00000183,36.7
500,4.570622,0.00000181,38.4
525,4.250745,0.00000179,40.7
550,4.303504,0.00000176,42.5
575,4.563333,0.00000174,44.6
600,4.251553,0.00000171,46.4
625,4.178742,0.00000168,48.5
650,4.154361,0.00000165,50.2
675,4.223304,0.00000162,52.3
700,4.013419,0.00000159,54.1
725,4.123227,0.00000156,56.1
750,3.989705,0.00000153,57.8
775,4.065775,0.00000150,59.8
800,3.950650,0.00000146,61.6
825,3.891387,0.00000143,63.7
850,4.038466,0.00000139,65.4
875,3.903404,0.00000136,67.5
900,3.854829,0.00000132,69.2
925,3.769125,0.00000128,71.2
950,3.841625,0.00000125,72.9
975,3.760969,0.00000121,74.9
1000,3.995979,0.00000117,76.7
1025,3.810977,0.00000114,79.8
1050,3.865454,0.00000110,81.5
1075,3.755720,0.00000106,83.5
1100,3.673120,0.00000103,85.4
1125,3.673731,0.00000099,87.5
1150,3.673180,0.00000095,89.3
1175,3.608007,0.00000092,91.2
1200,3.720785,0.00000088,93.0
1225,3.706454,0.00000084,95.0
1250,3.700297,0.00000081,96.7
1275,3.592538,0.00000077,98.8
1300,3.578122,0.00000074,100.5
1325,3.648890,0.00000070,102.5
1350,3.434102,0.00000067,104.3
1375,3.523107,0.00000064,106.3
1400,3.535763,0.00000061,108.1
1425,3.537289,0.00000058,110.1
1450,3.492997,0.00000055,111.9
1475,3.474971,0.00000052,113.9
1500,3.634107,0.00000049,115.7
1525,3.360752,0.00000046,118.0
1550,3.498946,0.00000044,119.8
1575,3.421336,0.00000041,121.8
1600,3.392688,0.00000039,123.5
1625,3.454955,0.00000037,125.6
1650,3.482476,0.00000035,127.4
1675,3.512453,0.00000033,129.4
1700,3.443946,0.00000031,131.3
1725,3.374154,0.00000029,133.3
1750,3.456297,0.00000028,135.1
1775,3.490712,0.00000026,137.0
1800,3.354424,0.00000025,138.7
1825,3.492144,0.00000024,140.7
1850,3.443412,0.00000023,142.5
1875,3.433538,0.00000022,144.4
1900,3.427882,0.00000021,146.2
1925,3.400653,0.00000021,148.2
1950,3.346318,0.00000020,149.9
1975,3.320030,0.00000020,151.9
2000,3.408087,0.00000020,153.7
