step,loss,lr,elapsed_sec
25,7.287868,0.00000050,2.4
50,6.539287,0.00000100,4.2
75,6.228159,0.00000150,6.4
100,5.955317,0.00000200,8.1
125,5.843295,0.00000200,10.2
150,5.907739,0.00000200,12.1
175,5.523436,0.00000199,14.1
200,5.460866,0.00000199,15.9
225,5.541046,0.00000198,18.1
250,5.352283,0.00000197,19.9
275,5.396354,0.00000196,22.0
300,5.173261,0.00000195,23.8
325,5.118374,0.00000194,25.8
350,5.133044,0.00000192,27.6
375,5.220690,0.00000191,29.7
400,4.949007,0.00000189,31.5
425,5.069096,0.00000187,33.6
450,4.967427,0.00000185,35.4
475,4.894840,0.00000183,37.5
500,4.681489,0.00000181,39.4
525,4.767240,0.00000179,41.7
550,4.519099,0.00000176,43.5
575,4.656012,0.00000174,45.7
600,4.695036,0.00000171,47.4
625,4.501012,0.00000168,49.6
650,4.592834,0.00000165,51.4
675,4.442106,0.00000162,53.4
700,4.688711,0.00000159,55.3
725,4.443238,0.00000156,57.5
750,4.382211,0.00000153,59.3
775,4.208608,0.00000150,61.4
800,4.320109,0.00000146,63.2
825,4.240492,0.00000143,65.3
850,4.272280,0.00000139,67.0
875,4.164474,0.00000136,69.1
900,4.451057,0.00000132,71.0
925,4.251348,0.00000128,73.2
950,4.224559,0.00000125,75.0
975,4.212279,0.00000121,77.1
1000,3.919754,0.00000117,78.8
1025,4.274891,0.00000114,82.0
1050,4.074882,0.00000110,83.8
1075,4.135528,0.00000106,85.9
1100,4.111924,0.00000103,87.7
1125,3.922770,0.00000099,89.7
1150,3.951465,0.00000095,91.5
1175,4.017070,0.00000092,93.6
1200,4.037641,0.00000088,95.5
1225,3.920895,0.00000084,97.6
1250,3.899328,0.00000081,99.4
1275,3.978425,0.00000077,101.6
1300,4.205390,0.00000074,103.4
1325,3.826390,0.00000070,105.6
1350,3.991589,0.00000067,107.4
1375,3.919422,0.00000064,109.5
1400,3.748213,0.00000061,111.4
1425,3.895388,0.00000058,113.4
1450,3.749207,0.00000055,115.3
1475,3.917239,0.00000052,117.4
1500,3.672711,0.00000049,119.2
1525,3.965269,0.00000046,121.5
1550,3.761256,0.00000044,123.3
1575,3.754339,0.00000041,125.4
1600,3.869714,0.00000039,127.3
1625,3.929347,0.00000037,129.3
1650,3.746406,0.00000035,131.1
1675,3.720444,0.00000033,133.2
1700,3.884299,0.00000031,135.0
1725,3.821635,0.00000029,137.0
1750,3.609848,0.00000028,138.8
1775,3.913569,0.00000026,140.9
1800,3.618706,0.00000025,142.6
1825,3.809422,0.00000024,144.7
1850,3.789470,0.00000023,146.5
1875,3.827006,0.00000022,148.7
1900,3.845394,0.00000021,150.5
1925,3.833452,0.00000021,152.6
1950,3.883540,0.00000020,154.4
1975,3.651902,0.00000020,156.6
2000,3.849719,0.00000020,158.3
